时间/h,光伏可发功率/kW,光伏实际出力/kW,负荷功率/kW,储能功率/kW,SOC/%,光伏限发功率/kW,功率平衡误差/kW,控制状态,告警状态
0,0.00,0.00,35.00,35.00,23.16,0.00,0.00,光伏不足，储能放电补足缺额,正常
1,0.00,0.00,35.00,3.00,20.00,0.00,-32.00,功率缺额告警，重要负荷存在供电风险,告警
2,0.00,0.00,35.00,0.00,20.00,0.00,-35.00,功率缺额告警，重要负荷存在供电风险,告警
3,0.00,0.00,35.00,0.00,20.00,0.00,-35.00,功率缺额告警，重要负荷存在供电风险,告警
4,0.00,0.00,35.00,0.00,20.00,0.00,-35.00,功率缺额告警，重要负荷存在供电风险,告警
5,0.00,0.00,35.00,0.00,20.00,0.00,-35.00,功率缺额告警，重要负荷存在供电风险,告警
6,10.00,10.00,40.00,0.00,20.00,0.00,-30.00,功率缺额告警，重要负荷存在供电风险,告警
7,25.00,25.00,40.00,0.00,20.00,0.00,-15.00,功率缺额告警，重要负荷存在供电风险,告警
8,40.00,40.00,35.00,-5.00,24.75,0.00,0.00,光伏盈余，储能充电,正常
9,50.00,50.00,25.00,-25.00,48.50,0.00,0.00,光伏盈余，储能充电,正常
10,50.00,50.00,10.00,-40.00,86.50,0.00,0.00,光伏盈余，储能充电,正常
11,50.00,13.68,10.00,-3.68,90.00,36.32,0.00,储能充电受限，光伏限发,正常
12,50.00,10.00,10.00,-0.00,90.00,40.00,0.00,储能充电受限，光伏限发,正常
13,45.00,10.00,10.00,-0.00,90.00,35.00,0.00,储能充电受限，光伏限发,正常
14,35.00,15.00,15.00,-0.00,90.00,20.00,0.00,储能充电受限，光伏限发,正常
15,20.00,20.00,25.00,5.00,84.74,0.00,0.00,光伏不足，储能放电补足缺额,正常
16,10.00,10.00,35.00,25.00,58.42,0.00,0.00,光伏不足，储能放电补足缺额,正常
17,0.00,0.00,40.00,36.50,20.00,0.00,-3.50,功率缺额告警，重要负荷存在供电风险,告警
18,0.00,0.00,45.00,0.00,20.00,0.00,-45.00,功率缺额告警，重要负荷存在供电风险,告警
19,0.00,0.00,45.00,0.00,20.00,0.00,-45.00,功率缺额告警，重要负荷存在供电风险,告警
20,0.00,0.00,45.00,0.00,20.00,0.00,-45.00,功率缺额告警，重要负荷存在供电风险,告警
21,0.00,0.00,45.00,0.00,20.00,0.00,-45.00,功率缺额告警，重要负荷存在供电风险,告警
22,0.00,0.00,45.00,0.00,20.00,0.00,-45.00,功率缺额告警，重要负荷存在供电风险,告警
23,0.00,0.00,45.00,0.00,20.00,0.00,-45.00,功率缺额告警，重要负荷存在供电风险,告警
